id,name,location
95,카페도도 Cafe DoDo,경상남도 진주시 망경남길 24(망경동)
96,카페인,경상남도 진주시 강남로337번길 1(망경동)
97,커피303,진주시 진주대로954
98,커피빅스,경상남도 진주시 강남로 331(망경동)
99,퍼시먼,경상남도 진주시 강남로255번길 3(칠암동)
100,현대떡커피,"진주시 강남로255번길19,1층일부"
101,그릇에 빠진 커피,"경상남도 진주시 초북로 46(초전동, 동정빌딩)"
102,달려라벤지,경상남도 진주시 초전북로62번길 27-15(초전동)
103,더반함,"진주시 초북로55, 상가동 1층 106호"
104,드립풍카페,"진주시 초전북로39번길5-1,1층일부(초전동)"
105,메가엠지씨커피진주초전점,진주시 초북로54
106,언어의정원,"진주시 초전북로39번길5-2,1층일부(초전동)"
107,이디야커피 진주초전중앙점,"경상남도 진주시 초북로 36, 1층 (초전동)"
108,진은스터디카페,"진주시 초북로20번길18,4층"
109,카페백송,경상남도 진주시 대신로 634-16(초전동)
110,카페오픈하우스,경상남도 진주시 초장로14번길 16-14(초전동)
111,커피루,진주시 초전동677-11
112,커피온더스트리트,경상남도 진주시 초전북로51번길 34(초전동)
113,토토로의숲 힐링카페 초전점,경상남도 진주시 초전북로62번길 27-17(초전동)
114,핸즈커피 초전점,경상남도 진주시 초전북로61번길 5 (초전동)
115,나인커피,"경상남도 진주시 사들로 123번길 42, 103,104,105호 (충무공동)"
116,리프패럿진주점,진주시 범골로37번길8-3
117,베이스워터 커피컴퍼니,"경상남도 진주시 충의로 20-26, 106호(충무공동)"
118,에이트,"진주시 사들로40,동일빌딩103호"
119,유후점핑클럽,"경상남도 진주시 사들로156번길 7, 501호(충무공동)"
120,이디야 커피 충무공점,"경상남도 진주시 사들로156번길 7, 103, 104호(충무공동)"
121,주식회사 에이치유비,"경상남도 진주시 에나로 101, 골든비지니스호텔상가 101호 (충무공동)"
122,카페 온,"경상남도 진주시 충의로 30, 104호(충무공동)"
123,카페베뉴,"경상남도 진주시 에나로 146, 112호(충무공동)"
124,커피플라워,진주시 에나로128번길21
125,이디아커피 평거엠코점,경상남도 진주시 새들말로 28(평거동)
126,까페띠아모,경상남도 진주시 남강로373번길 18(평거동)
127,까페베네 진주평거점,경상남도 진주시 신평공원길 41(평거동)
128,느티나무 쪽방카페,경상남도 진주시 새들말로 22번길 5-8 (평거동)
129,더벤티,경상남도 진주시 평거로 26(평거동)
130,동네커피,"경상남도 진주시 새들말로 34-4, 107호(평거동)"
131,메가커피진주평거점,진주시 평거로5번길24
132,반반스프링스평거점,진주시 평거로8
133,씨엠와이케이,"경상남도 진주시 진양호로313번길 9, 102호(신안동)"
134,제이블룸,"경상남도 진주시 신평공원길 21, 1층(평거동)"
135,진주커피,경상남도 진주시 진양호로240번길 8(평거동)
136,"카페,서른셋","진주시 진양호로28번길23,1층(평거동)"
137,카페부름평거점,"진주시 석갑로75-10,2층(평거동)"
138,커피갤러리공간,경상남도 진주시 신평공원길39번길 9(평거동)
139,커피홀베이커리평거엠코점,"경상남도 진주시 진양호로84번길 12, 1층(평거동)"
140,커피홀베이커리평거점,진주시 평거로 11
141,타이거슈가진주평거점,진주시 진주시 진양호로 221
142,파르팔라커피,진주시 평거로13번길21
143,해담,진주시 평거로36번길8
144,햇빛속으로,경상남도 진주시 신평공원길11번길 15(평거동)
145,러빈드카페,"경상남도 진주시 모덕로 254, 4층(하대동)"
146,엔젤리너스 진주하대점,경상남도 진주시 도동로 243 (하대동)
147,오롯이,경상남도 진주시 말티고개로118번길 12(하대동)
148,크리스피크림도넛진주하대점,"경상남도 진주시 도동로 243, 1층 (하대동)"
149,피베리브라더스,"경상남도 진주시 도동로 228-1, 1층 (하대동)"
